name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Dalton Kincaid";"BUF";"TE";26.7;9819;"10236";"16213";1916;114;15;51
"Wan'Dale Robinson";"TEN";"WR";25.5;4091;"8126";"15757";1897;115;45;-48
"Chuba Hubbard";"CAR";"RB";27.1;183;"7594";"15261";1891;116;28;-38
"Jayden Higgins";"HOU";"WR";23.5;12652;"12484";"17083";1880;117;46;155
"Ricky Pearsall";"SF";"WR";25.8;11752;"11638";"16622";1874;118;47;-96
"2026 Pick 2.04";"null";"PICK";"null";16556;"DP_1_3";"DP_1_3";1868;119;20;-15
"DK Metcalf";"PIT";"WR";28.5;5240;"5846";"14102";1866;119;48;-263
"Xavier Worthy";"KC";"WR";23.2;11736;"11624";"16620";1865;120;49;-61
"Josh Downs";"IND";"WR";24.9;9936;"9500";"16187";1865;121;50;-92
"Jaylen Warren";"PIT";"RB";27.7;6285;"8228";"15742";1856;122;29;121
"Kyle Monangai";"CHI";"RB";24.1;12711;"12534";"17066";1850;123;30;-9
"Michael Penix";"ATL";"QB";26.1;11739;"11559";"16583";1844;124;29;19
"RJ Harvey";"DEN";"RB";25.4;12601;"12489";"17068";1826;125;31;-112
"Jonathon Brooks";"CAR";"RB";22.9;11725;"11583";"16597";1802;126;32;29
"2026 Pick 2.05";"null";"PICK";"null";16557;"DP_1_4";"DP_1_4";1790;127;21;-14
"Michael Pittman";"PIT";"WR";28.7;8259;"6819";"14842";1786;127;51;-22
"Nicholas Singleton";"TEN";"RB";22.5;13515;"13288";"17476";1776;128;33;-66
"Antonio Williams";"WAS";"WR";22;13422;"13301";"17512";1776;129;52;-3
"Jayden Reed";"GB";"WR";26.2;9863;"10222";"16184";1768;130;53;-115
"Mark Andrews";"BAL";"TE";30.8;4519;"5012";"13671";1723;131;16;154
"2026 Pick 2.06";"null";"PICK";"null";16558;"DP_1_5";"DP_1_5";1718;132;22;-13
"J.J. McCarthy";"MIN";"QB";23.4;11740;"11565";"16584";1697;132;30;-16
"Blake Corum";"LAR";"RB";25.6;11747;"11586";"16593";1690;133;34;-1
"2026 2nd";"null";"PICK";"null";9663;"FP_2026_2";"FP_2026_2";1685;134;23;-12
"Germie Bernard";"PIT";"WR";22.6;13516;"13274";"17503";1678;134;54;-92
"Courtland Sutton";"DEN";"WR";30.7;818;"5045";"13630";1669;135;55;-123
"Brenton Strange";"JAX";"TE";25.5;9948;"9480";"16269";1659;136;17;82
"Zach Charbonnet";"SEA";"RB";25.5;9921;"9753";"16169";1656;137;35;-178
"2026 Pick 2.07";"null";"PICK";"null";16559;"DP_1_6";"DP_1_6";1652;138;24;-12
"Tua Tagovailoa";"ATL";"QB";28.3;6092;"6768";"14778";1633;138;31;-65
"Kenneth Gainwell";"TB";"RB";27.3;4476;"7567";"15255";1631;139;36;1
"Shedeur Sanders";"CLE";"QB";24.4;12587;"12524";"17031";1614;140;32;54
"2026 Pick 2.08";"null";"PICK";"null";16560;"DP_1_7";"DP_1_7";1591;141;25;-10
"Jacory Croskey-Merritt";"WAS";"RB";25.2;12697;"12533";"17256";1579;141;37;11
"Chris Bell";"MIA";"WR";22.1;13453;"13311";"17506";1574;142;56;-80
"Chig Okonkwo";"WAS";"TE";26.8;722;"8210";"15889";1571;143;18;-30
"Travis Kelce";"KC";"TE";36.7;2204;"1466";"11244";1556;144;19;-56
"Rhamondre Stevenson";"NE";"RB";28.4;4294;"7611";"15259";1550;145;38;-62
"Rachaad White";"WAS";"RB";27.5;2187;"8136";"15721";1543;146;39;44
"Jalen Coker";"CAR";"WR";24.7;11783;"11646";"16809";1540;147;57;95
"Rico Dowdle";"PIT";"RB";28;1465;"7021";"14823";1535;148;40;-160
"2026 Pick 2.09";"null";"PICK";"null";16561;"DP_1_8";"DP_1_8";1534;149;26;-9
"Tony Pollard";"TEN";"RB";29.2;407;"5967";"14085";1532;149;41;-65
"J.K. Dobbins";"DEN";"RB";27.5;5149;"6806";"14800";1519;150;42;15
"AJ Barner";"SEA";"TE";24.2;11720;"11603";"16723";1517;151;20;111
"Chris Godwin";"TB";"WR";30.3;2505;"4037";"13163";1509;152;58;2
"Geno Smith";"NYJ";"QB";35.7;6305;"1373";"11150";1507;153;33;-53
"2027 2nd";"null";"PICK";"null";9693;"FP_2027_2";"FP_2027_2";1504;154;27;-57
"Romeo Doubs";"NE";"WR";26.2;2419;"8121";"15779";1502;154;59;-129
"T.J. Hockenson";"MIN";"TE";29;8215;"5844";"14138";1500;155;21;-35
"Jakobi Meyers";"JAX";"WR";29.6;2463;"5947";"14127";1494;156;60;-137
"De'Zhaun Stribling";"SF";"WR";23.5;13586;"13417";"17514";1489;157;61;-59
"2026 Pick 2.10";"null";"PICK";"null";16562;"DP_1_9";"DP_1_9";1481;158;28;-9
"2026 Pick 2.11";"null";"PICK";"null";16563;"DP_1_10";"DP_1_10";1431;158;29;-9
"Jalen McMillan";"TB";"WR";24.6;11754;"11618";"16628";1424;158;62;-2
"Zachariah Branch";"ATL";"WR";22.3;13496;"13320";"17507";1415;159;63;-84
"Gunnar Helm";"TEN";"TE";23.8;12640;"12502";"17105";1415;160;22;-6
"Tyrone Tracy";"NYG";"RB";26.6;12123;"11655";"16747";1415;161;43;60
"Khalil Shakir";"BUF";"WR";26.4;8607;"8134";"15761";1410;162;64;-62
"Aaron Rodgers";"PIT";"QB";42.6;715;"96";"7836";1397;163;34;122
"Dylan Sampson";"CLE";"RB";21.8;12638;"12469";"17047";1390;164;44;102
"Jacoby Brissett";"ARI";"QB";33.6;2042;"3257";"12616";1387;165;35;-186
"Brandon Aiyuk";"SF";"WR";28.3;6429;"6803";"14840";1386;166;65;112
"2026 Pick 2.12";"null";"PICK";"null";16564;"DP_1_11";"DP_1_11";1385;167;30;-8
"Malachi Fields";"NYG";"WR";22.8;13475;"13285";"17511";1381;167;66;-82
"Dallas Goedert";"PHI";"TE";31.5;5988;"5022";"13674";1377;168;23;30
"Tyler Allgeier";"ARI";"RB";26.2;6408;"8132";"15712";1344;169;45;-109
"2026 Pick 3.01";"null";"PICK";"null";16583;"DP_2_0";"DP_2_0";1342;170;31;-7
"Elijah Sarratt";"BAL";"WR";23.1;13435;"13268";"17505";1337;170;67;-21
"Tre' Harris";"LAC";"WR";24.3;12593;"12509";"17072";1333;171;68;35
"Rashid Shaheed";"SEA";"WR";27.8;2354;"8676";"16080";1324;172;69;53
"Woody Marks";"HOU";"RB";25.5;12599;"12474";"17053";1312;173;46;-6
"Tank Bigsby";"PHI";"RB";23.8;9925;"9225";"16164";1312;174;47;112
"2028 2nd";"null";"PICK";"null";9723;"FP_2028_2";"FP_2028_2";1309;175;32;-55
"2026 Pick 3.02";"null";"PICK";"null";16584;"DP_2_1";"DP_2_1";1301;175;33;-6
"Aaron Jones";"MIN";"RB";31.6;2382;"4199";"13319";1301;175;48;-12
"Stefon Diggs";"null";"WR";32.6;3214;"2449";"12186";1297;176;70;-25
"Deshaun Watson";"CLE";"QB";30.8;3568;"4017";"13113";1295;177;36;-9
"Jordan Mason";"MIN";"RB";27.1;5469;"8408";"15972";1289;178;49;-59
"Emmett Johnson";"KC";"RB";22.7;13503;"13337";"17474";1284;179;50;-97
"Adonai Mitchell";"NYJ";"WR";23.7;11711;"11625";"16626";1272;180;71;423
"2026 Pick 3.03";"null";"PICK";"null";16585;"DP_2_2";"DP_2_2";1263;181;34;-6
"Keaton Mitchell";"LAC";"RB";24.5;9982;"9511";"16178";1250;181;51;17
"Chris Rodriguez";"JAX";"RB";26.8;9831;"10219";"16174";1234;182;52;-87
"Juwan Johnson";"NO";"TE";29.8;5552;"7002";"14861";1234;183;24;-17
"2029 2nd";"null";"PICK";"null";9753;"FP_2029_2";"FP_2029_2";1233;184;35;-43
"Carson Beck";"ARI";"QB";23.6;13448;"13272";"17466";1232;184;37;-22
"Hunter Henry";"NE";"TE";31.6;675;"3214";"12676";1232;185;25;-59
"Mac Jones";"SF";"QB";27.8;6814;"7527";"15241";1228;186;38;-23
"2026 Pick 3.04";"null";"PICK";"null";16586;"DP_2_3";"DP_2_3";1227;187;36;-5
"Jaylin Noel";"HOU";"WR";23.8;12710;"12536";"17080";1227;187;72;3
"Terrance Ferguson";"LAR";"TE";23.3;12596;"12487";"17107";1227;188;26;23
"Isiah Pacheco";"DET";"RB";27.3;3777;"8205";"15749";1226;189;53;-32
"Tank Dell";"HOU";"WR";26.7;9950;"9502";"16204";1210;190;73;43
"Mike Washington";"LV";"RB";23;13517;"13305";"17482";1201;191;54;-23
"Dalton Schultz";"HOU";"TE";30;4655;"5001";"13772";1200;192;27;112
"Braelon Allen";"NYJ";"RB";22.4;11748;"11576";"16596";1193;193;55;-58
"2026 Pick 3.05";"null";"PICK";"null";16587;"DP_2_4";"DP_2_4";1192;194;37;-6
"Jalen Nailor";"LV";"WR";27.3;3629;"8180";"15786";1188;194;74;-103
"Ted Hurst";"TB";"WR";22;13536;"13317";"17520";1187;195;75;-283
"Brian Robinson";"ATL";"RB";27.3;4174;"8154";"15716";1181;196;56;-99
"Alvin Kamara";"NO";"RB";30.9;4144;"4035";"13132";1176;197;57;-172
"Greg Dulcich";"MIA";"TE";26.3;3550;"8172";"15797";1168;198;28;140
"2026 Pick 3.06";"null";"PICK";"null";16588;"DP_2_5";"DP_2_5";1160;199;38;-5
"Jerry Jeudy";"CLE";"WR";27.2;2427;"6783";"14833";1157;199;76;-118
"2026 3rd";"null";"PICK";"null";9664;"FP_2026_3";"FP_2026_3";1145;200;39;-5
"Kaleb Johnson";"PIT";"RB";22.9;12598;"12504";"17048";1132;200;58;-54
"Malik Washington";"MIA";"WR";25.5;11770;"11610";"16684";1131;201;77;-10
"2026 Pick 3.07";"null";"PICK";"null";16589;"DP_2_6";"DP_2_6";1130;202;40;-4
"Skyler Bell";"BUF";"WR";24;13559;"13402";"17508";1129;202;78;112
"Keon Coleman";"BUF";"WR";23.1;11716;"11637";"16617";1127;203;79;-111
"David Njoku";"LAC";"TE";30;6513;"4033";"13192";1122;204;29;-135
"Kaytron Allen";"WAS";"RB";23.5;13556;"13405";"17478";1119;205;59;-82
"Isaac TeSlaa";"DET";"WR";24.4;12679;"12535";"17157";1114;206;80;-108
"Troy Franklin";"DEN";"WR";23.4;11738;"11627";"16619";1114;207;81;-7
"Kirk Cousins";"LV";"QB";37.9;536;"1166";"10700";1110;208;39;-63
"Jack Bech";"LV";"WR";23.5;12626;"12483";"17078";1109;209;82;-53
"Tre Tucker";"LV";"WR";25.3;9873;"10213";"16287";1106;210;83;73
"2026 Pick 3.08";"null";"PICK";"null";16590;"DP_2_7";"DP_2_7";1101;211;41;-4
"Tyjae Spears";"TEN";"RB";25;9817;"9508";"16165";1100;211;60;-130
"Tyreek Hill";"null";"WR";32.3;7958;"3321";"12801";1099;212;84;43
"Tory Horton";"SEA";"WR";23.6;12637;"12497";"17098";1091;213;85;-37
"Chris Brazzell";"CAR";"WR";22.8;13464;"13353";"17509";1085;214;86;-25
"Jauan Jennings";"MIN";"WR";29;2631;"7049";"14860";1082;215;87;-135
"MarShawn Lloyd";"GB";"RB";25.5;11729;"11581";"16604";1076;216;61;-126
"2026 Pick 3.09";"null";"PICK";"null";16591;"DP_2_8";"DP_2_8";1073;217;42;-4
"2027 3rd";"null";"PICK";"null";9694;"FP_2027_3";"FP_2027_3";1054;217;43;-27
"2026 Pick 3.10";"null";"PICK";"null";16592;"DP_2_9";"DP_2_9";1047;217;44;-4
"Justin Fields";"KC";"QB";27.3;7191;"7591";"15238";1046;217;40;-15
"Demond Claiborne";"MIN";"RB";22.7;13437;"13347";"17481";1045;218;62;-84
"Anthony Richardson";"IND";"QB";24.1;9951;"9229";"16152";1041;219;41;-115
"Pat Bryant";"DEN";"WR";23.6;12634;"12492";"17082";1027;220;88;52
"2026 Pick 3.11";"null";"PICK";"null";16593;"DP_2_10";"DP_2_10";1022;221;45;-3
"Mason Taylor";"NYJ";"TE";22.1;12642;"12498";"17106";1022;221;30;37
"Kaelon Black";"SF";"RB";24.7;13592;"13414";"17485";1011;222;63;-43
"Elic Ayomanor";"TEN";"WR";23.1;12623;"12499";"17073";1002;223;89;-29
"2026 Pick 3.12";"null";"PICK";"null";16594;"DP_2_11";"DP_2_11";998;224;46;-3
"Kimani Vidal";"LAC";"RB";24.8;11790;"11647";"16757";997;224;64;107
"Eli Raridon";"NE";"TE";22.4;13565;"13421";"17607";991;225;31;11
"Oscar Delp";"NO";"TE";22.9;13530;"13319";"17567";987;226;32;-44
"2026 Pick 4.01";"null";"PICK";"null";16613;"DP_3_0";"DP_3_0";975;227;47;-3
"Trey Benson";"ARI";"RB";23.9;11758;"11589";"16594";969;227;65;-88
"2029 3rd";"null";"PICK";"null";9754;"FP_2029_3";"FP_2029_3";967;228;48;-38
"Deebo Samuel";"null";"WR";30.5;2495;"5872";"14136";965;228;90;92
"2028 3rd";"null";"PICK";"null";9724;"FP_2028_3";"FP_2028_3";955;229;49;-55
"2026 Pick 4.02";"null";"PICK";"null";16614;"DP_3_1";"DP_3_1";954;229;50;-3
"Jaydon Blue";"DAL";"RB";22.5;12622;"12457";"17069";946;229;66;148
"Cade Otton";"TB";"TE";27.2;2021;"8111";"15802";946;230;33;-213
"Max Klare";"LAR";"TE";23;13527;"13278";"17547";939;231;34;-56
"Kayshon Boutte";"NE";"WR";24.2;9939;"9504";"16193";935;232;91;-229
"2026 Pick 4.03";"null";"PICK";"null";16615;"DP_3_2";"DP_3_2";933;233;51;-3
"Kyle Williams";"NE";"WR";23.6;12713;"12547";"17134";918;233;92;-89
"2026 Pick 4.04";"null";"PICK";"null";16616;"DP_3_3";"DP_3_3";913;234;52;-3
"2026 Pick 4.05";"null";"PICK";"null";16617;"DP_3_4";"DP_3_4";894;234;53;-2
"Chimere Dike";"TEN";"WR";24.5;12693;"12540";"17171";893;234;93;14
"Ja'Kobi Lane";"BAL";"WR";22.2;13523;"13293";"17517";891;235;94;-113
"Dontayvion Wicks";"PHI";"WR";25;9909;"9486";"16195";890;236;95;-43
"Michael Mayer";"LV";"TE";25;9931;"9482";"16212";882;237;35;147
"Drew Allar";"PIT";"QB";22.3;13538;"13289";"17468";880;238;42;-136
"2026 Pick 4.06";"null";"PICK";"null";16618;"DP_3_5";"DP_3_5";876;239;54;-2
"Cade Klubnik";"NYJ";"QB";22.7;13499;"13303";"17467";868;239;43;57
"2026 4th";"null";"PICK";"null";9665;"FP_2026_4";"FP_2026_4";867;240;55;-2
"2026 Pick 4.07";"null";"PICK";"null";16619;"DP_3_6";"DP_3_6";858;240;56;-2
"2026 Pick 4.08";"null";"PICK";"null";16620;"DP_3_7";"DP_3_7";841;240;57;-2
"Ollie Gordon";"MIA";"RB";22.5;12616;"12495";"17059";837;240;67;-22
"Elijah Arroyo";"SEA";"TE";23.2;12650;"12521";"17108";834;241;36;-93
"2027 4th";"null";"PICK";"null";9695;"FP_2027_4";"FP_2027_4";828;242;58;-26
"Calvin Ridley";"TEN";"WR";31.5;41;"4981";"13629";828;242;96;144
"2026 Pick 4.09";"null";"PICK";"null";16621;"DP_3_8";"DP_3_8";825;243;59;-2
"Pat Freiermuth";"PIT";"TE";27.7;2550;"7600";"15331";824;243;37;-10
"2029 4th";"null";"PICK";"null";9755;"FP_2029_4";"FP_2029_4";815;244;60;-15
"Justin Joly";"DEN";"TE";22;13552;"13400";"17548";815;244;38;-57
"2026 Pick 4.10";"null";"PICK";"null";16622;"DP_3_9";"DP_3_9";810;245;61;-1
"2028 4th";"null";"PICK";"null";9725;"FP_2028_4";"FP_2028_4";801;245;62;-23
"2026 Pick 4.11";"null";"PICK";"null";16623;"DP_3_10";"DP_3_10";795;245;63;-1
"2026 Pick 4.12";"null";"PICK";"null";16624;"DP_3_11";"DP_3_11";780;245;64;-2
"Ray Davis";"BUF";"RB";26.6;11699;"11575";"16603";775;245;68;107
"Ryan Flournoy";"DAL";"WR";26.7;11873;"11783";"16778";772;246;97;270
"Jaylen Wright";"MIA";"RB";23.2;11781;"11643";"16610";765;247;69;-90
"Jake Tonges";"SF";"TE";27;3676;"8698";"16036";757;248;39;-164
"Theo Johnson";"NYG";"TE";25.3;11749;"11597";"16649";753;249;40;117
